repo_name,languages,stars_count,forks_count,resolution_time_hours
abi/screenshot-to-code,"JavaScript, HTML, TypeScript, CSS, Python, Shell, Dockerfile",54536,6647,1099.3328638888888
alacritty/alacritty,"Rust, GLSL, Shell, Makefile",54520,2960,6885.786619444444
meta-llama/llama,"Python, Shell",54151,9317,2818.6266111111113
azl397985856/leetcode,"JavaScript, Python, Ruby",54131,9447,1239.9831888888891
facebook/docusaurus,"JavaScript, CSS, TypeScript, EJS",54113,8109,3405.7773166666666
ElemeFE/element,"Makefile, Vue, Shell, JavaScript, SCSS",54041,14625,139.0475138888889
scutan90/DeepLearning-500-questions,"JavaScript, HTML",53718,15766,1591.8720679012345
prometheus/prometheus,"Makefile, Go, HTML, CSS, JavaScript, Shell, Lex, Dockerfile, TypeScript, Yacc",53717,8902,10598.611269444444
nuxt/nuxt,"JavaScript, Vue, Shell, TypeScript, Dockerfile, HTML",53040,4868,310.9722361111111
Alvin9999/new-pac,,52981,9167,7613.970733333334
localstack/localstack,"Makefile, Python, JavaScript, Java, Shell, C#, Dockerfile, Ruby, Batchfile, HCL",52939,3848,4103.770411111112
zylon-ai/private-gpt,"Python, Makefile, MDX",52867,7115,3476.9149166666666
ryanoasis/nerd-fonts,"Python, Shell, CSS, PowerShell, Dockerfile",52632,3592,8773.60505
sherlock-project/sherlock,"Python, Dockerfile",52564,6393,3156.406883333333
remix-run/react-router,"JavaScript, TypeScript, HTML, CSS",52418,10179,235.00483333333335
ageitgey/face_recognition,"Makefile, Python, Dockerfile",52344,13356,300.34980277777777
louislam/uptime-kuma,"HTML, JavaScript, Vue, SCSS, TypeScript, PowerShell, Shell, Dockerfile, Go, C#",52287,4706,825.1295694444445
PKUFlyingPig/cs-self-learning,HTML,52280,6424,872.4712875816994
Solido/awesome-flutter,Dart,52126,6604,0
necolas/normalize.css,CSS,52096,10693,1674.059763888889
nektos/act,"Shell, Makefile, Go, JavaScript",51989,1304,2823.737936111111
psf/requests,"Makefile, Python",51729,9256,822.8968972222223
lencx/ChatGPT,"Rust, HTML, TypeScript, JavaScript, CSS",51640,5789,130.43601666666666
scrapy/scrapy,"Shell, Python, HTML, Roff",51624,10413,7473.172847222222
CorentinJ/Real-Time-Voice-Cloning,Python,51477,8635,1601.35465
PlexPt/awesome-chatgpt-prompts-zh,,51367,13495,80.77780303030302
gpt-engineer-org/gpt-engineer,"Python, Makefile, Dockerfile, Shell, HTML",51336,6677,178.46663333333333
labmlai/annotated_deep_learning_paper_implementations,"Python, Makefile, Jupyter Notebook",51303,5312,2869.359530555556
rust-lang/rustlings,"Rust, Shell",51078,9858,7481.880730555556
Semantic-Org/Semantic-UI,"HTML, JavaScript, Less",51061,4955,635.0906638888889
git/git,"Makefile, C, Shell, C++, Perl, Emacs Lisp, Python, Go, Tcl, JavaScript",50946,25329,0
ionic-team/ionic-framework,"JavaScript, HTML, CSS, TypeScript, Shell, Java, SCSS, Vue, Dockerfile",50657,13515,739.7331916666667
OpenInterpreter/open-interpreter,"Python, Shell, PowerShell, Dockerfile",50654,4416,541.3499777777778
AppFlowy-IO/AppFlowy,"Makefile, Kotlin, Ruby, Swift, Objective-C, Dart, C, HTML, Rust, Shell",50312,3329,5843.815375
google/material-design-icons,,50130,9590,20071.672655555558
deepfakes/faceswap,"Python, NSIS, Shell",49828,12998,263.88556944444446
wasabeef/awesome-android-ui,,49722,10238,12559.292566425122
google/guava,"Java, CSS, Shell, JavaScript, HTML",49683,10821,1743.6105583333333
soimort/you-get,"Makefile, Python, Shell",49552,9331,0
tldr-pages/tldr,"Shell, JavaScript, Python, CSS, Markdown",49272,4057,3274.3698249999998
juliangarnier/anime,JavaScript,49186,3653,833.557238888889
xai-org/grok-1,Python,49149,8312,28.344333333333335
NationalSecurityAgency/ghidra,"Java, C, HTML, CSS, Shell, Python, Haskell, Makefile, C++, Yacc",49151,5659,3757.6780694444446
traefik/traefik,"Go, Makefile, Shell, JavaScript, HTML, Dockerfile, Vue, SCSS",49069,4926,4039.6710166666667
jgthms/bulma,"Shell, Sass, SCSS, JavaScript, CSS",48834,3920,1983.2487611111112
youngyangyang04/leetcode-master,Shell,48788,11054,1180.3397037037037
prettier/prettier,"JavaScript, TypeScript, CSS, HTML, Vue, Handlebars, Less, SCSS, Shell, MDX",48677,4203,759.3984555555555
commaai/openpilot,"C, Python, Shell, C++, Dockerfile, HTML, QML, Kaitai Struct, Cython, JavaScript",48636,8810,6703.906394444444
jekyll/jekyll,"Ruby, HTML, CSS, Shell, CoffeeScript, Gherkin, JavaScript, Dockerfile, SCSS, Hack",48600,9918,10461.691583333333
ultralytics/yolov5,"Dockerfile, Shell, Python",48362,15866,1015.9845750000001
JetBrains/kotlin,"Kotlin, Java, Dockerfile, Swift, C++, C, Shell, Batchfile, CSS, JavaScript",48286,5662,0
Textualize/rich,"Python, Makefile, Batchfile",48129,1689,234.12883333333335
jesseduffield/lazygit,"Go, Shell, Dockerfile, Makefile",48052,1725,2499.223344444444
jgraph/drawio-desktop,"JavaScript, Shell",47929,4825,6040.209236111111
moment/moment,"JavaScript, Shell, TypeScript",47878,7042,326.5976861111111
iamadamdev/bypass-paywalls-chrome,"JavaScript, HTML, Shell",47836,3450,278.64083055555557
ReactiveX/RxJava,"Shell, Java, CSS",47768,7600,5846.453155555555
DefinitelyTyped/DefinitelyTyped,"TypeScript, JavaScript, Shell",47670,29923,3133.7353444444443
sharkdp/bat,"Rust, Shell, Batchfile, Python",47656,1184,691.9194333333334
